index,count f,candidates f,True_Value f,count g,candidates g,True_Value g
354,1,"(0,)","(0,)",6,"(-8, 0, 2, 6, 7, 10)","(0,)"
355,1,"(1,)","(1,)",1,"(-2,)","(-2,)"
356,1,"(-1,)","(-1,)",1,"(-1,)","(-1,)"
357,1,"(-1,)","(-1,)",1,"(-1,)","(-1,)"
358,1,"(-2,)","(-2,)",1,"(1,)","(1,)"
359,1,"(1,)","(1,)",1,"(0,)","(0,)"
360,1,"(-2,)","(-2,)",1,"(-1,)","(-1,)"
361,1,"(0,)","(0,)",1,"(0,)","(0,)"
362,1,"(0,)","(0,)",1,"(0,)","(0,)"
363,1,"(0,)","(0,)",1,"(2,)","(2,)"
364,1,"(0,)","(0,)",1,"(1,)","(1,)"
365,1,"(1,)","(1,)",1,"(-1,)","(-1,)"
366,1,"(1,)","(1,)",1,"(0,)","(0,)"
367,1,"(-1,)","(-1,)",1,"(-1,)","(-1,)"
368,1,"(2,)","(2,)",1,"(2,)","(2,)"
369,1,"(1,)","(1,)",1,"(2,)","(2,)"
370,1,"(3,)","(3,)",5,"(-6, -2, 1, 5, 7)","(1,)"
371,1,"(0,)","(0,)",1,"(2,)","(2,)"
372,1,"(0,)","(0,)",1,"(0,)","(0,)"
373,1,"(-1,)","(-1,)",1,"(-1,)","(-1,)"
374,1,"(1,)","(1,)",1,"(-2,)","(-2,)"
375,1,"(2,)","(2,)",1,"(-1,)","(-1,)"
376,3,"(-3, -2, 7)","(-2,)",5,"(-4, 0, 4, 5, 6)","(0,)"
377,1,"(0,)","(0,)",1,"(-3,)","(-3,)"
378,5,"(-6, -2, -1, 1, 2)","(1,)",1,"(2,)","(2,)"
379,1,"(-2,)","(-2,)",1,"(0,)","(0,)"
380,1,"(1,)","(1,)",1,"(-2,)","(-2,)"
381,1,"(-1,)","(-1,)",1,"(-1,)","(-1,)"
382,1,"(0,)","(0,)",1,"(0,)","(0,)"
383,1,"(2,)","(2,)",1,"(-1,)","(-1,)"
384,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
385,1,"(-2,)","(-2,)",1,"(0,)","(0,)"
386,1,"(-1,)","(-1,)",1,"(1,)","(1,)"
387,1,"(1,)","(1,)",1,"(2,)","(2,)"
388,1,"(-1,)","(-1,)",1,"(1,)","(1,)"
389,1,"(0,)","(0,)",1,"(0,)","(0,)"
